"Qty","DPN"
"1","668-SMTB-1240-S-RCT-ND"
"3","490-3886-1-ND"
"4","490-5888-1-ND"
"17","490-3261-1-ND"
"3","1276-1076-1-ND"
"6","490-10746-1-ND"
"1","1516-QBLP601-S3CT-ND"
"2","732-150060GS75020CT-ND"
"1","296-TCAN3413DRCT-ND"
"1","448-FM24CL64B-GTRCT-ND"
"1","609-4050-1-ND"
"2","WM1866-ND"
"1","WM1867-ND"
"3","WM1865-ND"
"1","TX2-12V-TH-ND"
"1","SDR0403-3R3MLCT-ND"
"1","785-1000-1-ND"
"3","311-1.00KLRCT-ND"
"4","YAG3086CT-ND"
"1","311-82.0KHRCT-ND"
"10","311-10.0KHRCT-ND"
"1","WSLG-.05CT-ND"
"2","311-33.2KHRCT-ND"
"1","311-120LRCT-ND"
"5","311-4.70KHRCT-ND"
"2","P12301SCT-ND"
"1","296-TPSM843521RCJRCT-ND"
"1","W25Q128JVSIQ-ND"
"1","2648-SC0914(13)CT-ND"
"1","296-23978-1-ND"
"1","MCP2518FDT-E/QBBCT-ND"
"1","296-53412-1-ND"
"1","296-47886-1-ND"
"1","535-ABM8-272-T3CT-ND"
"1","535-10641-1-ND"
