Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,XDCR_SMTB-1240-S-R,1,Buzzer,SMTB-1240-S-R
"C1, C17, C20",0805,3,10u,GRM21BR61C106KE15L
"C10, C8",0402,2,1u,CL05A105KP5NNNC
"C11, C12, C13, C14, C15, C16, C18, C21, C24, C27, C28, C29, C32, C5, C6, C7, C9",0402,17,100n,GRM155R71C104KA88D
"C19, C22, C23, C30, C31, C34",0805,6,22u,GRM21BR61A226ME44L
"C2, C25, C26, C3",0402,4,15p,GRM1555C1H150JA01D
C4,PCAP_6.3x7.7-ELECT_NCA,1,UCD1V101MCL6GS,UCD1V101MCL6GS
CR1,SMASeries_LTF,1,SMAJ13A,SMAJ13A
CR2,DIODE_SODB340_2P92X4P6_DIO,1,B340A-13-F,B340A-13-F
D1,0603,1,RED LED,QBLP601-S3
D3,0603,1,LED,150060GS75020
IC2,SOIC127P602X173-8N,1,TCAN3413DR,TCAN3413DR
IC3,SOIC127P602X173-8N,1,FM24CL64B-GTR,FM24CL64B-GTR
J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal_modified,1,USB_B_Micro,10103594-0001LF
"J2, J3",CONN_SD-43650-001_03_MOL,2,436500301,0436500301
J4,CONN_SD-43650-001_04_MOL,1,436500401,0436500401
"J5, J8, J9",CONN_SD-43650-001_02_MOL,3,436500201,0436500201
J6,CONN_BM03B-SRSS-TBLFSN_JST,1,BM03B-SRSS-TBLFSN,
K1,TX212VTH,1,TX2-12V-TH,TX2-12V-TH
L1,IND_BOURNS_SDR0403,1,3.3u,SDR0403-3R3ML
Q1,SOT-23-3,1,AO3400A,AO3400A
"R1, R11, R5",0402,3,1k,RC0402FR-071KL
"R10, R12, R17, R18, R7, R8",0603,6,10k,RC0603FR-0710KL
R13,0603,1,33.2k,RC0603FR-0733K2L
"R15, R3, R4",0402,3,27,RC0402FR-0727RL
R16,0402,1,120,RC0402FR-07120RL
"R19, R20, R21, R22, R23",0603,5,4.7k,RC0603FR-074K7L
R6,0603,1,82k,RC0603FR-0782KL
R9,2512,1,0.05,WSL2512R0500FEA
"SW2, SW3",SW_SPST_EVQP2_ShortPushTravel_H2.1mm,2,SW_Push,EVQ-P2602W
U1,RCJ0009A-MFG,1,TPSM843521RCJR,TPSM843521RCJR
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,W25Q128JVSIQ
U3,RP2040-QFN-56,1,RP2040,SC0914(13)
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,INA219AIDR,INA219AIDR
U5,DFN-14-1EP_3x4.5mm_P0.65mm_EP1.65x4.25mm,1,MCP2518FDT-E_QBB,MCP2518FDT-E/QBB
VR1,SOT95P280X110-6N,1,TPS561208DDCR,TPS561208DDCR
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,ABM8-272-T3
Y2,XTAL_ABM3-20.000MHZ-D2Y-T,1,ABM3-20.000MHZ-D2Y-T,ABM3-20.000MHZ-D2Y-T
