Designator,Mid X,Mid Y,Rotation,Layer
BZ1,10.67925,-9.8,0.0,top
C1,5.5,26.0,90.0,top
C10,4.0,6.485,90.0,top
C11,-5.25,3.5,180.0,top
C12,6.485,-1.2,0.0,top
C13,-5.485,-0.95,180.0,top
C14,0.4,-7.2,270.0,top
C15,6.485,4.0,0.0,top
C16,6.485,5.4,0.0,top
C17,9.25,17.25,0.0,top
C18,9.0,15.75,0.0,top
C19,13.5,11.25,0.0,top
C2,-1.3,-9.5,180.0,top
C20,9.25,20.0,270.0,top
C21,15.25,23.0,90.0,top
C22,17.25,27.5,0.0,top
C23,17.25,25.5,0.0,top
C24,-14.75,-10.48,270.0,top
C25,-8.75,-1.75,180.0,top
C26,-11.25,-1.75,0.0,top
C27,-13.75,2.75,270.0,top
C28,-15.75,-2.25,90.0,top
C29,15.73,3.25,180.0,top
C3,1.3,-9.5,0.0,top
C30,16.0,5.45,90.0,top
C31,15.0,16.0,180.0,top
C32,15.75,17.5,180.0,top
C34,13.5,13.25,0.0,top
C4,3.5449,19.0,0.0,top
C5,-2.52,12.25,0.0,top
C6,-1.0,7.485,90.0,top
C7,1.5,-6.485,270.0,top
C8,3.0,6.485,90.0,top
C9,0.0,7.485,90.0,top
CR1,2.65405,13.5,0.0,top
CR2,8.25,26.25,90.0,top
D1,-13.5,13.25,0.0,top
D3,6.75,-18.75,180.0,top
GND,9.5,-19.0,0.0,top
H1,-22.75,26.75,0.0,top
H2,22.75,26.75,0.0,top
H3,22.75,-17.75,0.0,top
H4,-22.75,-17.75,0.0,top
IC2,-10.25,-9.25,0.0,top
IC3,-13.0,-15.25,180.0,top
J1,0.0,28.26,180.0,top
J2,20.8053,3.0,90.0,top
J3,20.778299,16.749999,90.0,top
J4,-20.958301,-6.35,270.0,top
J5,-20.888302,18.399998,270.0,top
J6,-1.500001,-17.1784,0.0,top
J8,-20.888302,7.399998,270.0,top
J9,20.778299,-9.249999,90.0,top
K1,-10.04,18.96,0.0,top
L1,12.75,26.5,0.0,top
Q1,-14.5,8.75,270.0,top
R1,-9.0,13.5,90.0,top
R10,-15.5,23.35,0.0,top
R11,-15.5,12.51,90.0,top
R12,13.075,19.25,180.0,top
R13,15.5,20.575,270.0,top
R15,4.0,-18.75,0.0,top
R16,-5.0,-9.25,270.0,top
R17,-15.75,-5.825,90.0,top
R18,-13.75,5.25,0.0,top
R19,-4.0,-6.5,0.0,top
R2,-10.5,13.5,270.0,top
R20,-4.075,-5.0,0.0,top
R21,3.75,9.75,90.0,top
R22,5.25,9.75,90.0,top
R23,7.075,0.0,0.0,top
R3,1.0,6.485,270.0,top
R30,-8.2,-17.4,270.0,top
R31,-6.4,-17.375,90.0,top
R32,-8.2,-14.225,270.0,top
R33,-6.4,-14.2,90.0,top
R4,2.0,6.485,270.0,top
R5,-0.7,-6.5,270.0,top
R6,7.5,10.0,180.0,top
R7,7.5,8.5,0.0,top
R8,-13.5,11.75,0.0,top
R9,12.5375,0.5,0.0,top
SW2,-7.825,26.15,0.0,top
SW3,-15.075,26.15,0.0,top
TP1,13.75,-19.0,0.0,top
TP2,11.55,-19.0,0.0,top
U1,8.825,13.0,90.0,top
U2,-7.0,9.25,270.0,top
U3,0.0,0.0,0.0,top
U4,11.905,6.275,180.0,top
U5,-10.55,1.75,0.0,top
VR1,12.495,21.95,0.0,top
Y1,0.0,-12.3,0.0,top
Y2,-10.75,-4.25,0.0,top
